,year,caseID,gender,socialClassSelf,interestElections,wealthPrcnt,partyID,yrsEdu,voteHouseParty,approveOfConservatives,approveOfLiberals,approveOfBusiness,approveOfUnions,approveOfCongress,approveOfMiddleClass,approveOfIllegalAliens,votedForCong,isRepublican,isDemocrat
54390,2012,5578,F,4,2,,2,16,1,85,40,85,50,70,97,0,1,1,0
54391,2012,5579,F,1,1,50,-3,12,0,50,40,50,50,70,50,60,1,0,1
54392,2012,5580,M,5,2,75,-1,16,,30,80,10,60,30,80,50,0,0,1
54393,2012,5581,M,5,1,75,-2,16,,,,,,,,,0,0,1
54394,2012,5582,M,4,2,28,2,16,,50,50,55,50,25,80,0,0,1,0
54395,2012,5583,F,5,1,98,1,16,0,60,30,80,35,30,85,15,1,1,0
54396,2012,5584,M,2,2,50,-3,14,0,50,70,0,30,85,85,85,1,0,1
54397,2012,5585,M,4,2,75,0,16,0,40,40,40,30,0,50,50,1,0,0
54398,2012,5586,F,6,2,98,3,16,1,97,5,85,0,5,70,40,1,1,0
54399,2012,5587,M,2,2,50,-3,16,0,17,77,20,80,2,78,60,1,0,1
54400,2012,5588,M,2,2,8,2,12,,55,60,65,60,65,65,10,0,1,0
54401,2012,5589,F,5,2,50,-3,14,0,40,80,40,75,65,85,60,1,0,1
54402,2012,5590,M,2,2,8,-2,12,1,60,0,40,30,15,50,5,1,0,1
54403,2012,5591,F,5,1,50,2,16,1,70,60,40,50,40,85,15,1,1,0
54404,2012,5592,M,4,2,8,0,12,,50,50,50,50,50,50,50,0,0,0
54405,2012,5593,F,5,2,75,1,16,1,50,30,40,30,15,85,40,1,1,0
54406,2012,5594,F,2,2,28,-3,12,1,40,30,15,70,15,70,30,1,0,1
54407,2012,5595,M,5,2,50,2,16,1,60,20,50,40,40,70,15,1,1,0
54408,2012,5596,M,5,1,75,0,16,0,40,40,45,25,30,75,60,1,0,0
54409,2012,5597,M,2,1,50,-2,14,,50,50,30,97,50,97,50,0,0,1
54410,2012,5598,F,5,1,75,0,16,,60,60,40,50,50,97,40,0,0,0
54411,2012,5599,M,5,2,75,3,12,1,70,15,60,15,40,70,0,1,1,0
54412,2012,5600,F,2,1,28,-3,12,,,,,,,,,0,0,1
54413,2012,5601,F,5,2,8,2,14,1,80,25,70,30,50,90,25,1,1,0
54414,2012,5602,M,2,2,8,-2,14,,30,50,30,50,30,97,30,0,0,1
54415,2012,5603,F,1,1,8,-3,12,0,50,50,50,50,50,85,50,1,0,1
54416,2012,5604,F,2,2,28,-3,10,1,40,40,30,50,30,30,97,1,0,1
54417,2012,5605,F,1,2,28,-3,14,0,0,97,0,50,15,50,75,1,0,1
54418,2012,5606,M,5,2,98,-2,14,0,40,40,40,97,30,97,40,1,0,1
54419,2012,5607,F,1,2,75,-2,16,1,20,25,30,50,15,70,85,1,0,1
54420,2012,5608,F,4,2,75,0,16,0,50,35,50,35,45,97,65,1,0,0
54421,2012,5609,M,2,2,75,0,16,,65,15,15,40,15,85,0,0,0,0
54422,2012,5610,F,2,2,50,3,16,1,80,85,70,50,10,97,0,1,1,0
54423,2012,5611,M,4,2,8,0,12,,50,50,20,70,50,50,40,0,0,0
54424,2012,5612,M,5,2,50,-2,16,,0,65,0,50,5,97,60,0,0,1
54425,2012,5613,M,2,2,50,1,14,1,97,0,97,0,15,97,0,1,1,0
54426,2012,5614,M,2,2,28,-3,16,0,0,75,0,75,50,65,50,1,0,1
54427,2012,5615,M,4,2,50,-3,12,0,50,60,40,97,70,97,50,1,0,1
54428,2012,5616,F,5,2,75,3,16,1,95,0,85,0,15,97,40,1,1,0
54429,2012,5617,M,5,1,75,-2,16,0,40,60,30,70,30,60,50,1,0,1
54430,2012,5618,F,5,1,50,0,12,,0,0,0,0,0,97,50,0,0,0
54431,2012,5619,M,5,1,50,-1,16,0,40,70,0,50,30,97,50,1,0,1
54432,2012,5620,F,5,1,75,-2,16,,70,60,60,85,50,85,50,0,0,1
54433,2012,5621,M,5,2,75,1,16,,50,25,50,20,20,97,0,0,1,0
54434,2012,5622,F,5,1,50,-2,12,0,50,80,50,0,50,85,45,1,0,1
54435,2012,5623,F,5,2,75,-3,12,0,30,60,40,30,15,50,60,1,0,1
54436,2012,5624,F,2,1,8,-2,14,0,0,80,20,40,56,70,67,1,0,1
54437,2012,5625,M,5,2,50,-3,16,0,0,97,5,97,25,95,40,1,0,1
54438,2012,5626,F,2,1,8,-3,14,,0,30,50,85,50,80,0,0,0,1
54439,2012,5627,F,1,2,28,-3,14,,,,50,,,,70,0,0,1
54440,2012,5628,F,4,1,8,-2,12,0,50,50,50,50,60,60,30,1,0,1
54441,2012,5629,F,2,1,8,-2,16,0,15,85,40,50,60,85,40,1,0,1
54442,2012,5630,M,2,1,98,-2,14,,45,55,5,90,10,90,70,0,0,1
54443,2012,5631,M,1,2,8,-3,12,0,50,50,50,50,0,80,50,1,0,1
54444,2012,5632,M,1,2,75,-3,14,0,40,60,0,30,15,85,0,1,0,1
54445,2012,5633,F,1,1,8,-3,12,,0,40,70,85,70,70,50,0,0,1
54446,2012,5634,M,3,2,50,3,12,1,97,0,70,15,70,85,0,1,1,0
54447,2012,5635,F,2,2,28,3,14,1,70,30,70,40,60,97,40,1,1,0
54448,2012,5636,M,5,2,50,-3,16,1,40,60,30,80,30,70,50,1,0,1
54449,2012,5637,M,5,1,8,-2,12,,,,,,,,,0,0,1
54450,2012,5638,F,5,2,75,-3,16,0,40,85,30,70,50,97,97,1,0,1
54451,2012,5639,F,5,1,75,-3,14,1,70,40,70,60,60,85,30,1,0,1
