,districtFull,medianIncome,meanIncome,over75,over200,l150h200,under50,under40,under25,prcntCollege,prcntWhite,prcntBlack,prcntAsian,prcntLat,industry,rural,urbanLoose,urbanStrict,urbanAll,district,state,distNum,handle,party,policy,homestyle,other,prcntHome,prcntPolicy,prcntHomeOther
273,"Congressional District 40 (113th Congress), California",39103,49861,19.8,1.1,1.9,62.2,45.1,31.3,8.4,54.7,5.6,2.5,87.1,1,0,1,0,1,CA-40,CA,40,reproybalallard,D,251,242,1,0.489878543,0.508097166,0.490872211
274,"Congressional District 41 (113th Congress), California",51715,65557,31.7,2.7,4.5,48.3,33.3,22.9,16.5,64.2,10.8,6.4,57.7,0.9,0.01469743,0.98530257,0,0.98530257,CA-41,CA,41,repmarktakano,D,390,223,2,0.362601626,0.634146341,0.363784666
275,"Congressional District 42 (113th Congress), California",71392,85381,47.5,5,8.3,34.2,22.5,14.3,23.5,73.8,6.4,10.7,35.7,0.8,0.05955663,0.94044337,0,0.94044337,CA-42,CA,42,kencalvert,R,1646,307,8,0.156552779,0.83936767,0.15719406
276,"Congressional District 44 (113th Congress), California",44856,57580,26.7,1.5,3.1,54.7,38.9,27.6,11.2,49.5,17.6,6.2,69.5,0.7,0,1,0,1,CA-44,CA,44,rep_janicehahn,D,762,549,4,0.417490494,0.579467681,0.418764302
277,"Congressional District 45 (113th Congress), California",89601,113427,58.5,13.8,10.9,27.4,18.6,13,51.1,69.6,2.3,23.9,18,0.3,0.004821134,0.995178866,0,0.995178866,CA-45,CA,45,repjohncampbell,R,414,193,1,0.317434211,0.680921053,0.317957166
278,"Congressional District 46 (113th Congress), California",53544,66985,33.7,2.5,4.3,46.2,31,20.7,17.1,56.9,2.3,12.5,66.8,0.8,0,1,0,1,CA-46,CA,46,lorettasanchez,D,847,794,13,0.480048368,0.512091898,0.48385131
279,"Congressional District 47 (113th Congress), California",57360,77152,38.6,5.1,6.4,44.1,31.4,21.9,29.6,59.9,9.3,23.1,34.7,0.4,0.000932927,0.99030771,0.008759363,0.999067073,CA-47,CA,47,replowenthal,D,400,300,6,0.424929178,0.566572238,0.428571429
280,"Congressional District 48 (113th Congress), California",77641,109580,51.6,11.9,9.4,32.5,21.8,14.2,42.5,71.4,1.6,19.3,20.9,0.4,0.000292893,0.999707107,0,0.999707107,CA-48,CA,48,danarohrabacher,R,2338,863,36,0.266604881,0.72227371,0.269603249
281,"Congressional District 49 (113th Congress), California",69868,96964,46.9,10.2,7.9,36.6,25.5,16.2,39.4,80.9,3.5,8.6,26.9,1.2,0.008610576,0.991389424,0,0.991389424,CA-49,CA,49,darrellissa,R,2239,885,12,0.282206633,0.713966837,0.283290653
282,"Congressional District 5 (113th Congress), Alabama",49405,67297,32.3,3.5,4.6,50.5,36.2,25.7,28.7,79.1,18.2,2,4.9,1.1,0.343880883,0.59229244,0.063826678,0.656119117,AL-05,AL,5,repmobrooks,R,153,193,1,0.556195965,0.44092219,0.557803468
